GDPPC_LM,GDPPC_LSD,GDPPC_LVar,GDPPC_LSKe,GDPPC_LCV,GDPPC_Median,GDPPC_IQR,GDPPC_QI,County
26355.125533421226,8066.391625615282,65066673.85779634,0.9883268720440694,0.30606538433619684,25554,7976,0.5157973921765295,Hengdong
23599.452051013912,5787.753504542992,33498090.629349686,0.756183513496309,0.24524948681146733,24194,6840,0.6023391812865497,Hengnan
27586.71802570233,10201.761963687097,104075947.1637328,1.9442198679391869,0.3698070192395556,25554,6174,0.3744735989633949,Hengshan
27237.955444597064,12020.93156990475,144502795.80833265,1.6769570794311497,0.44133017231619076,24473,11110,-0.3713771377137714,Leiyang
20162.982626806683,6687.78178960432,44726425.265363164,2.933847125326708,0.33168613559746435,20518,6380,-0.1523510971786834,Qidong
18590.71353642896,6885.704493360827,47412926.36988948,1.4874302899542855,0.37038408880154705,16069,6950,-0.23136690647482014,Chenxi
17988.655597239023,6127.298533359805,37543787.31691322,1.2383025868357174,0.3406201480837873,16069,6690,-0.20149476831091181,Zhongfang
16342.423466442615,5046.582912475338,25467999.09248807,1.451038048365992,0.30880260341056187,14624,4691,-0.21424003410786613,Huitong
15887.679831840578,4738.437206857594,22452787.1633324,1.4060118103506087,0.2982460155926146,13863,4711,-0.532158777329654,Jingzhou
18590.00569616487,6197.52518753802,38409318.45016817,1.1457867408430804,0.3333794130475481,16069,6950,-0.23136690647482014,Mayang
15254.47336894334,4322.937567414492,18687789.211763524,1.2593072702423227,0.2833881880324747,13863,4711,-0.532158777329654,Tongdao
17715.905842145534,5202.581994088311,27066859.405211907,1.473597387855727,0.29366728636091227,15801,6593,-0.3760048536326407,Xinhuang
19084.02423914521,11985.916009354278,143662182.58329517,2.7145365833970745,0.6280601962749938,14563,4090,-0.42249388753056233,Xupu
17800.85008648831,6551.393316326087,42920754.385202125,1.716460925646778,0.3680382276405387,16069,8544,-0.37476591760299627,Yuanling
17997.69478723112,5589.539134956681,31242947.741212275,1.3795144544665743,0.3105697257919002,15801,6939,-0.30739299610894943,Zhijiang
23817.483296213086,18519.433340459775,342969411.25173306,1.5106688610032049,0.7775562644523535,14563,13886,-0.5280138268759902,Lengshuijiang
28250.100548563245,15602.679060186683,243443593.85518798,1.3880041288870695,0.5523052575818251,24473,9775,0.3624552429667519,Shuangfeng
22055.70797965771,17684.603075054394,312745185.9222234,1.811842714423762,0.8018152530567213,14563,4677,-0.4949754115886252,Xinhua
14557.616317628526,4282.5991761692485,18340655.703725524,1.1835599517320843,0.2941827207647478,12781,7340,-0.2782016348773842,Chengbu
16364.342393208099,5787.631973004882,33496683.854948383,1.6616884095058646,0.3536733608927051,17814,10506,0.4624024367028365,Dongan
15292.34559368586,7680.2642509986,58986458.96516708,3.7525953469341955,0.5022293149175066,12781,5937,-0.1076301162203133,Dongkou
17977.11122704242,14275.117099907136,203778968.21606115,2.5964854577561343,0.7940718016159077,12781,7340,-0.2782016348773842,Longhui
21841.58342691924,13328.475316464877,177648254.2616135,2.2826339115547385,0.6102339311186498,18059,11790,-0.20661577608142492,Shaodong
15251.445030949093,4905.4191998788365,24063137.52653992,1.4743881666785206,0.32163635576330524,13863,5892,-0.225050916496945,Suining
13688.698603325904,4836.441639296434,23391167.730320375,3.3894528234640817,0.3533163947463448,11580,5669,-0.4891515258423002,Wugang
14381.582403527593,4919.4076500316905,24200571.627190318,2.0579890387968636,0.34206302978349806,11580,7682,-0.6230148398854465,Xinning
21474.53509763474,16792.9139786076,282001959.89291453,1.9005031504536032,0.781991968732176,14563,13187,-0.5029953742321984,Xinshao
41221.00726476154,21067.356640196955,443833515.8052507,0.6226987403950746,0.5110830141748315,27589,31097,-0.7995948162202142,Shaoshan
35729.007247984206,18854.15666636768,355479223.5999367,0.7718429838073967,0.5276988676317451,27137,23783,-0.2916789303283858,Xiangxiang
16899.975794288715,6555.790758776557,42978392.4728601,1.0585444188654876,0.3879171685554758,14426,8574,-0.32073711219967344,Baojing
18220.52888040188,6329.471589221802,40062210.59876596,1.0714884763471326,0.34738133183553327,16069,6690,-0.20149476831091181,Fenghuang
