distance_km,observed,lower,upper
5,1.9358359666845382,-0.2753016337313693,0.2753016337313693
5.05,1.9535183425840277,-0.2753016337313693,0.2753016337313693
5.1,1.9760329519208117,-0.2753016337313693,0.2753016337313693
5.15,1.9952451612654023,-0.2753016337313693,0.2753016337313693
5.2,2.0255787698798557,-0.2753016337313693,0.2753016337313693
5.25,2.0342438993881986,-0.2753016337313693,0.2753016337313693
5.3,2.0553898897061518,-0.2753016337313693,0.2753016337313693
5.35,2.0566950428383906,-0.2753016337313693,0.2753016337313693
5.4,2.097199389120237,-0.2753016337313693,0.2753016337313693
5.45,2.1127713156751424,-0.2753016337313693,0.2753016337313693
5.5,2.137707493030649,-0.2753016337313693,0.2753016337313693
5.55,2.159853841217414,-0.2753016337313693,0.2753016337313693
5.6,2.171273923737186,-0.2753016337313693,0.2753016337313693
5.65,2.1835742439507833,-0.2753016337313693,0.2753016337313693
5.7,2.2089417050018945,-0.2753016337313693,0.2753016337313693
5.75,2.2226549363453114,-0.2753016337313693,0.2753016337313693
5.8,2.2372510359874576,-0.2753016337313693,0.2753016337313693
5.85,2.2655319508260945,-0.2753016337313693,0.2753016337313693
5.9,2.287109176524029,-0.2753016337313693,0.2753016337313693
5.95,2.3128820667571346,-0.2753016337313693,0.2753016337313693
6,2.3413040092588635,-0.2753016337313693,0.2753016337313693
6.05,2.3634044526232394,-0.2753016337313693,0.2753016337313693
6.1,2.3759772381450093,-0.2753016337313693,0.2753016337313693
6.15,2.3800556461802973,-0.2753016337313693,0.2753016337313693
6.2,2.410959421415264,-0.2753016337313693,0.2753016337313693
6.25,2.434295863013498,-0.2753016337313693,0.2753016337313693
6.3,2.459635053488042,-0.2753016337313693,0.2753016337313693
6.35,2.47426487446035,-0.2753016337313693,0.2753016337313693
6.4,2.4855403013314246,-0.2753016337313693,0.2753016337313693
6.45,2.5039773639074845,-0.2753016337313693,0.2753016337313693
6.5,2.5122739478788136,-0.2753016337313693,0.2753016337313693
6.55,2.5426118854824233,-0.2753016337313693,0.2753016337313693
6.6,2.576485139802251,-0.2753016337313693,0.2753016337313693
6.65,2.5781964147701273,-0.2753016337313693,0.2753016337313693
6.7,2.599283307146763,-0.2753016337313693,0.2753016337313693
6.75,2.613633778058329,-0.2753016337313693,0.2753016337313693
6.8,2.6225429420479633,-0.2753016337313693,0.2753016337313693
6.85,2.624917003852988,-0.2753016337313693,0.2753016337313693
6.9,2.651835431397445,-0.2753016337313693,0.2753016337313693
6.95,2.662828843704343,-0.2753016337313693,0.2753016337313693
7,2.6755094428775337,-0.2753016337313693,0.2753016337313693
7.05,2.6858672870089175,-0.2753016337313693,0.2753016337313693
7.1,2.710031277942904,-0.2753016337313693,0.2753016337313693
7.15,2.720466679654255,-0.2753016337313693,0.2753016337313693
7.2,2.7358599231682437,-0.2753016337313693,0.2753016337313693
7.25,2.7518923399138204,-0.2753016337313693,0.2753016337313693
7.3,2.7605126212994873,-0.2753016337313693,0.2753016337313693
7.35,2.781351898904124,-0.2753016337313693,0.2753016337313693
7.4,2.7950773711971704,-0.2753016337313693,0.2753016337313693
7.45,2.807651831494064,-0.2753016337313693,0.2753016337313693
7.5,2.8237942606888335,-0.2753016337313693,0.2753016337313693
7.55,2.8403598810347686,-0.2753016337313693,0.2753016337313693
7.6,2.8506797555179273,-0.2753016337313693,0.2753016337313693
7.65,2.8767007101659403,-0.2753016337313693,0.2753016337313693
7.7,2.8910899925325246,-0.2753016337313693,0.2753016337313693
7.75,2.9053630755591566,-0.2753016337313693,0.2753016337313693
7.8,2.9310829641573566,-0.2753016337313693,0.2753016337313693
7.85,2.9500803101491018,-0.2753016337313693,0.2753016337313693
7.9,2.9613332520312925,-0.2753016337313693,0.2753016337313693
7.95,2.973461109940041,-0.2753016337313693,0.2753016337313693
8,2.983331028746716,-0.2753016337313693,0.2753016337313693
8.05,3.0012406993077803,-0.2753016337313693,0.2753016337313693
8.1,3.0272473599947314,-0.2753016337313693,0.2753016337313693
8.15,3.0279410597916194,-0.2753016337313693,0.2753016337313693
8.2,3.0444364970768167,-0.2753016337313693,0.2753016337313693
8.25,3.068052882369502,-0.2753016337313693,0.2753016337313693
8.3,3.0866746761046033,-0.2753016337313693,0.2753016337313693
8.35,3.1168110526166166,-0.2753016337313693,0.2753016337313693
8.4,3.145767610868061,-0.2753016337313693,0.2753016337313693
8.45,3.162415676677263,-0.2753016337313693,0.2753016337313693
8.5,3.186323510600718,-0.2753016337313693,0.2753016337313693
8.55,3.2165349467887117,-0.2753016337313693,0.2753016337313693
8.6,3.2279261806038777,-0.2753016337313693,0.2753016337313693
8.65,3.24892108812842,-0.2753016337313693,0.2753016337313693
8.7,3.2779452916994507,-0.2753016337313693,0.2753016337313693
8.75,3.2934058781984676,-0.2753016337313693,0.2753016337313693
8.8,3.3032968138708947,-0.2753016337313693,0.2753016337313693
8.85,3.31300114461828,-0.2753016337313693,0.2753016337313693
8.9,3.3299218310086856,-0.2753016337313693,0.2753016337313693
8.95,3.360417271025075,-0.2753016337313693,0.2753016337313693
9,3.386298933700793,-0.2753016337313693,0.2753016337313693
9.05,3.420881161383355,-0.2753016337313693,0.2753016337313693
9.1,3.4491023818137947,-0.2753016337313693,0.2753016337313693
