spatial_m,lag_days,ratio
26000,19,4.617045453840355
27000,19,4.513201576602756
28000,19,4.4108614866634035
29000,19,4.316221770403615
30000,19,4.254702847324681
1000,21,22.05970515017612
2000,21,17.71956470606999
3000,21,12.131758776789889
4000,21,9.362350097338732
5000,21,8.026392345416996
6000,21,6.861292539913943
7000,21,6.0384344699882275
8000,21,5.451629008516986
9000,21,4.973364359042376
10000,21,4.758666538702466
11000,21,4.8566192113538005
12000,21,4.9767972221016485
13000,21,5.1261239855835345
14000,21,5.105507137725765
15000,21,5.1614274644340314
16000,21,5.17027843549741
17000,21,5.142127147718986
18000,21,5.0096424060468845
19000,21,4.973726902165425
20000,21,4.950173298292488
21000,21,4.911897081953816
22000,21,4.8568281526262576
23000,21,4.747697399600758
24000,21,4.63695609589206
25000,21,4.547432580217528
26000,21,4.455743114588922
27000,21,4.359208642300781
28000,21,4.267847426596814
29000,21,4.185927084439431
30000,21,4.134389765040159
1000,23,20.68290728315952
2000,23,16.55773914690212
3000,23,11.341525941993995
4000,23,8.746308188252101
5000,23,7.5576819668963475
6000,23,6.4834634210042434
7000,23,5.726769090639309
8000,23,5.168598544726225
9000,23,4.72073579468369
10000,23,4.501398614296136
11000,23,4.586918724131195
12000,23,4.7074484146557465
13000,23,4.838356413218476
14000,23,4.810948771846665
15000,23,4.864394664416991
16000,23,4.868384438702941
17000,23,4.84507648537465
18000,23,4.727790852048631
19000,23,4.699568357578456
20000,23,4.681143801711607
21000,23,4.649467161527468
22000,23,4.600759655303545
23000,23,4.499322091188677
24000,23,4.394755970017901
25000,23,4.310236165328772
26000,23,4.2250053923721795
27000,23,4.1312962200949075
28000,23,4.048805655000367
29000,23,3.975539676275078
30000,23,3.928898422861796
1000,25,19.227523650250284
2000,25,15.606711795919049
3000,25,10.722007905152893
4000,25,8.326797368768757
5000,25,7.194249385548594
6000,25,6.206838787738166
7000,25,5.520675480247327
8000,25,4.989499784801521
9000,25,4.564485094234152
10000,25,4.358744749202345
11000,25,4.446877667726607
12000,25,4.5645834277776585
13000,25,4.6941294897263095
14000,25,4.661364863922012
15000,25,4.699985649307693
16000,25,4.704396509449846
17000,25,4.679834275898475
18000,25,4.5784366044481475
19000,25,4.549430120165487
20000,25,4.534561375884882
21000,25,4.509397876965951
22000,25,4.4558677739887775
23000,25,4.3541524181180975
24000,25,4.252842941095917
25000,25,4.1691253268440125
26000,25,4.0841838782791005
27000,25,3.996374762787331
28000,25,3.9172625481357404
29000,25,3.8438446943829834
30000,25,3.79834015197191
1000,27,18.17224217568272
2000,27,14.819638606857493
3000,27,10.418294527950183
4000,27,8.271007495491025
5000,27,7.131432069290325
6000,27,6.204036659626572
7000,27,5.509162243938689
8000,27,4.95242077652626
9000,27,4.550403967497055
10000,27,4.349890646339677
11000,27,4.405356996278315
12000,27,4.531607421307259
13000,27,4.697975989388781
14000,27,4.659174106970905
15000,27,4.696192139695022
16000,27,4.708594049450094
17000,27,4.674875525468949
18000,27,4.561018276120347
19000,27,4.5232337476943805
20000,27,4.50112084451944
21000,27,4.4781312130707365
22000,27,4.429792328516548
23000,27,4.328894204723571
24000,27,4.227871107680306
25000,27,4.142969685056846
26000,27,4.054930892263565
27000,27,3.968081606607303
28000,27,3.890024573532101
29000,27,3.8180216691094255
30000,27,3.7728800867552095
1000,29,17.17663359857985
2000,29,13.926419316994597
3000,29,9.927909157842766
4000,29,7.919672290095281
5000,29,6.835498853047189
6000,29,5.985449851247844
7000,29,5.331125902531614
8000,29,4.802657710572276
9000,29,4.412775873155728
10000,29,4.218842752921712
11000,29,4.265674311087638
12000,29,4.373788885113838
13000,29,4.526266228174033
14000,29,4.49675203325326
15000,29,4.5265701716778795
16000,29,4.5424115420424815
17000,29,4.5207290418333415
18000,29,4.410708141392542
19000,29,4.376636325221264
20000,29,4.358391236478432
21000,29,4.343240764999573
22000,29,4.3096969665276905
23000,29,4.222257455951746
